arrived_at,num_prefill_tokens,num_decode_tokens
0.002761989,20,100
0.004133431,20,100
0.037505605,20,100
0.070406016,20,100
0.074731031,20,100
0.082992863,20,100
0.084743573,20,100
0.095938037,20,100
0.122407706,20,100
0.166200574,20,100
0.175422332,20,100
0.214608087,20,100
0.231434364,20,100
0.247685868,20,100
0.299413958,20,100
0.344426532,20,100
0.399912946,20,100
0.429142649,20,100
0.480908914,20,100
0.506405265,20,100
0.510473246,20,100
0.530633706,20,100
0.559928554,20,100
0.588571711,20,100
0.648002385,20,100
0.739525164,20,100
0.758289702,20,100
0.785996326,20,100
0.799958752,20,100
0.873938676,20,100
0.877182118,20,100
0.893233054,20,100
0.920162101,20,100
0.928602746,20,100
0.933752913,20,100
0.949131651,20,100
0.967248733,20,100
1.001594765,20,100
1.013292456,20,100
1.055389554,20,100
1.070658645,20,100
1.077781655,20,100
1.103685403,20,100
1.109682845,20,100
1.159409416,20,100
1.161127946,20,100
1.168966459,20,100
1.213067739,20,100
1.221747085,20,100
1.225507873,20,100
1.235473099,20,100
1.252529712,20,100
1.279283261,20,100
1.285304663,20,100
1.295737332,20,100
1.310336289,20,100
1.329368292,20,100
1.347698831,20,100
1.359125757,20,100
1.384394781,20,100
1.415985172,20,100
1.429951343,20,100
1.444387753,20,100
1.458132192,20,100
1.46491215,20,100
1.480156679,20,100
1.483813605,20,100
1.506958399,20,100
1.557737924,20,100
1.569125586,20,100
1.572521538,20,100
1.617677867,20,100
1.620770126,20,100
1.622538424,20,100
1.635084545,20,100
1.721515834,20,100
1.730081796,20,100
1.733170135,20,100
1.755512956,20,100
1.771214666,20,100
1.831523775,20,100
1.850603459,20,100
1.858100118,20,100
1.871318594,20,100
1.891110793,20,100
1.945094805,20,100
1.962003293,20,100
1.968180337,20,100
1.975953493,20,100
2.029981443,20,100
2.032448891,20,100
2.045663009,20,100
2.075620048,20,100
2.095900174,20,100
2.097326439,20,100
2.110180472,20,100
2.116827909,20,100
2.122329463,20,100
2.143428503,20,100
2.146995023,20,100
2.181648186,20,100
2.210696708,20,100
2.247274679,20,100
2.25658642,20,100
2.305621267,20,100
2.331852489,20,100
2.366332435,20,100
2.376684574,20,100
2.380086675,20,100
2.385535162,20,100
2.387145823,20,100
2.391100665,20,100
2.423134135,20,100
2.437540853,20,100
2.477422681,20,100
2.494309669,20,100
2.496199838,20,100
2.523107534,20,100
2.573316741,20,100
2.577476797,20,100
2.583465967,20,100
2.621424088,20,100
2.649552951,20,100
2.697350612,20,100
2.700616421,20,100
2.742132019,20,100
2.748052507,20,100
2.764415568,20,100
2.785329906,20,100
2.818024735,20,100
2.834769559,20,100
2.864506902,20,100
2.865297527,20,100
2.873826326,20,100
2.879623663,20,100
2.933893173,20,100
2.934573203,20,100
2.962220386,20,100
2.963236548,20,100
2.978894022,20,100
2.98967998,20,100
2.9897471,20,100
3.013165117,20,100
3.027727484,20,100
3.03600864,20,100
3.037538681,20,100
3.082092058,20,100
3.114280648,20,100
3.130838885,20,100
3.138412611,20,100
3.1458377,20,100
3.167882751,20,100
3.17857934,20,100
3.208047053,20,100
3.216234638,20,100
3.221936523,20,100
3.237660013,20,100
3.24645218,20,100
3.277387125,20,100
3.28218791,20,100
3.313864281,20,100
3.366926616,20,100
3.377442559,20,100
3.42399476,20,100
3.437724416,20,100
3.45470021,20,100
3.455700985,20,100
3.53449508,20,100
3.549987613,20,100
3.550427125,20,100
3.550767851,20,100
3.586339114,20,100
3.610846857,20,100
3.612958847,20,100
3.62653622,20,100
3.675220883,20,100
3.687688066,20,100
3.691568786,20,100
3.692992902,20,100
3.69314368,20,100
3.695752218,20,100
3.717267156,20,100
3.771962996,20,100
3.774545934,20,100
3.775567238,20,100
3.780496136,20,100
3.826510088,20,100
3.830701007,20,100
3.832130102,20,100
3.860118625,20,100
3.902283398,20,100
3.949810404,20,100
3.966527368,20,100
3.968643343,20,100
4.009207924,20,100
4.079229891,20,100
4.168327794,20,100
4.193989784,20,100
4.23735123,20,100
4.262799543,20,100
4.29656316,20,100
4.333349692,20,100
4.422322343,20,100
4.446287497,20,100
4.470568321,20,100
4.482505661,20,100
4.49379663,20,100
4.505753119,20,100
4.511722938,20,100
4.516446078,20,100
4.545085424,20,100
4.555883944,20,100
4.564278563,20,100
4.586714918,20,100
4.673231368,20,100
4.684741069,20,100
4.68815876,20,100
4.689293345,20,100
4.711989341,20,100
4.754416173,20,100
4.809271945,20,100
4.813144706,20,100
4.8563026,20,100
4.916497945,20,100
4.918398023,20,100
4.966040337,20,100
4.981526599,20,100
4.989916608,20,100
4.991985654,20,100
5.000894529,20,100
5.004354146,20,100
5.05858937,20,100
5.101582426,20,100
5.123255138,20,100
5.124125829,20,100
5.157525628,20,100
5.167884824,20,100
5.168371442,20,100
5.183548386,20,100
5.195638737,20,100
5.203275014,20,100
5.213023925,20,100
5.218663549,20,100
5.219683975,20,100
5.266329986,20,100
5.278250496,20,100
5.278744365,20,100
5.287784327,20,100
5.295675691,20,100
5.310910269,20,100
5.31723757,20,100
5.318398381,20,100
5.324935761,20,100
5.331949763,20,100
5.332030043,20,100
5.332169595,20,100
5.333345804,20,100
5.33750283,20,100
5.337717163,20,100
5.339411338,20,100
5.341109988,20,100
5.34260174,20,100
5.34405384,20,100
5.351695948,20,100
5.352024069,20,100
5.358234057,20,100
5.358684994,20,100
5.359741806,20,100
5.365006224,20,100
5.365065572,20,100
5.366362475,20,100
5.366539857,20,100
5.370183735,20,100
5.378611891,20,100
5.382801077,20,100
5.387506115,20,100
5.388012955,20,100
5.390667174,20,100
5.393090576,20,100
5.394173355,20,100
5.399332727,20,100
5.404607811,20,100
5.406861722,20,100
5.417293238,20,100
5.422004931,20,100
5.422922593,20,100
5.429137726,20,100
5.429204053,20,100
5.4368973,20,100
5.438294326,20,100
5.440676005,20,100
5.44183973,20,100
5.446833768,20,100
5.453493687,20,100
5.456624976,20,100
5.456850507,20,100
5.457594864,20,100
5.463990575,20,100
5.464137453,20,100
5.464518333,20,100
5.466583601,20,100
5.467861166,20,100
5.470667016,20,100
5.4707915,20,100
5.477449942,20,100
5.478961922,20,100
5.492298112,20,100
5.493060636,20,100
5.493764058,20,100
5.497284414,20,100
5.502378801,20,100
5.509342465,20,100
5.511906278,20,100
5.512845041,20,100
5.518098086,20,100
5.520643065,20,100
5.521427811,20,100
5.524194314,20,100
5.525464994,20,100
5.529571985,20,100
5.531911405,20,100
5.543548698,20,100
5.543842441,20,100
5.548636672,20,100
5.551276132,20,100
5.55444825,20,100
5.555673819,20,100
5.555756493,20,100
5.557030168,20,100
5.564866396,20,100
5.568988106,20,100
5.570135325,20,100
5.572442542,20,100
5.574081023,20,100
5.575470948,20,100
5.57872615,20,100
5.580071783,20,100
5.581823241,20,100
5.584248017,20,100
5.593572288,20,100
5.598204528,20,100
5.609363404,20,100
5.615931445,20,100
5.617814563,20,100
5.618142027,20,100
5.620942319,20,100
5.628624286,20,100
5.630731425,20,100
5.641755297,20,100
5.643477824,20,100
5.64491278,20,100
5.649000849,20,100
5.650286428,20,100
5.653317686,20,100
5.653869826,20,100
5.658974121,20,100
5.661581726,20,100
5.663134261,20,100
5.666164684,20,100
5.667763775,20,100
5.669602203,20,100
5.670652066,20,100
5.671128133,20,100
5.684343054,20,100
5.690015789,20,100
5.69272777,20,100
5.694230065,20,100
5.699035582,20,100
5.700257781,20,100
5.705578125,20,100
5.70674546,20,100
5.713937736,20,100
5.71500759,20,100
5.717657303,20,100
5.71852558,20,100
5.727299168,20,100
5.727851023,20,100
5.730817053,20,100
5.731066175,20,100
5.73273961,20,100
5.733845604,20,100
5.735314998,20,100
5.737857404,20,100
5.738151202,20,100
5.740896324,20,100
5.74503662,20,100
5.748987729,20,100
5.750913186,20,100
5.754467159,20,100
5.764123613,20,100
5.765129285,20,100
5.768497993,20,100
5.770294457,20,100
5.772879156,20,100
5.784960048,20,100
5.796171751,20,100
5.80845989,20,100
5.812188667,20,100
5.814871728,20,100
5.820638177,20,100
5.820771124,20,100
5.825291368,20,100
5.830977912,20,100
5.831926343,20,100
5.832209416,20,100
5.834141164,20,100
5.835510496,20,100
5.837342473,20,100
5.838297008,20,100
5.845634175,20,100
5.849675829,20,100
5.849830829,20,100
5.849882303,20,100
5.862023491,20,100
5.862063031,20,100
5.865324647,20,100
5.879903427,20,100
5.889159031,20,100
5.889729426,20,100
5.891297048,20,100
5.892033395,20,100
5.893305244,20,100
5.897834194,20,100
5.898059279,20,100
5.8992741,20,100
5.901119323,20,100
5.905905688,20,100
5.906994001,20,100
5.911189619,20,100
5.912645646,20,100
5.913315531,20,100
5.913868827,20,100
5.916814581,20,100
5.920104833,20,100
5.921561884,20,100
5.930371841,20,100
5.950118981,20,100
5.95088715,20,100
5.968051082,20,100
5.982863274,20,100
6.013813485,20,100
6.023551194,20,100
6.053850458,20,100
6.079984834,20,100
6.085539266,20,100
6.134924454,20,100
6.143758169,20,100
6.147147522,20,100
6.177018534,20,100
6.220632051,20,100
6.236943299,20,100
6.243805946,20,100
6.251748999,20,100
6.275222202,20,100
6.301858751,20,100
6.316512182,20,100
6.346194579,20,100
6.353953941,20,100
6.3720131,20,100
6.374553009,20,100
6.432492629,20,100
6.432993052,20,100
6.438069975,20,100
6.481478812,20,100
6.482426148,20,100
6.493203286,20,100
6.511587437,20,100
6.515418712,20,100
6.515548071,20,100
6.51899927,20,100
6.52427688,20,100
6.536194762,20,100
6.544736566,20,100
6.60111213,20,100
6.610512864,20,100
6.615175683,20,100
6.628123579,20,100
6.640255728,20,100
6.640632376,20,100
6.706527473,20,100
6.78642585,20,100
6.815386089,20,100
6.815838184,20,100
6.820259876,20,100
6.853225029,20,100
6.85515694,20,100
6.881752255,20,100
6.9123206,20,100
6.973565867,20,100
7.025649376,20,100
7.034805553,20,100
7.038221811,20,100
7.057772531,20,100
7.126633373,20,100
7.14132789,20,100
7.168647899,20,100
7.255504417,20,100
7.270244868,20,100
7.288900548,20,100
7.291931569,20,100
7.292220066,20,100
7.292433739,20,100
7.306687294,20,100
7.319303768,20,100
7.370205522,20,100
7.41687543,20,100
7.426711513,20,100
7.440090642,20,100
7.451190772,20,100
7.45363933,20,100
7.478974248,20,100
7.49538395,20,100
7.498199985,20,100
7.507414284,20,100
7.531136265,20,100
7.552802915,20,100
7.58177952,20,100
7.599799811,20,100
7.610060147,20,100
7.614647652,20,100
7.630116151,20,100
7.656197958,20,100
7.695894538,20,100
7.714022701,20,100
7.729171684,20,100
7.754191636,20,100
7.787548285,20,100
7.841683764,20,100
7.885200591,20,100
7.908174415,20,100
7.973259346,20,100
8.029073581,20,100
8.058544803,20,100
8.064780127,20,100
8.072096365,20,100
8.121240095,20,100
8.12225448,20,100
8.122890575,20,100
8.139247044,20,100
8.158102584,20,100
8.169947588,20,100
8.197236228,20,100
8.203607283,20,100
8.20627628,20,100
8.220567455,20,100
8.236018866,20,100
8.237383215,20,100
8.254612944,20,100
8.280655593,20,100
8.287004013,20,100
8.288715354,20,100
8.29288539,20,100
8.321746725,20,100
8.354970883,20,100
8.380650497,20,100
8.430426419,20,100
8.434052607,20,100
8.437795397,20,100
8.43870388,20,100
8.443908107,20,100
8.444232542,20,100
8.44693079,20,100
8.479899866,20,100
8.506858209,20,100
8.528162921,20,100
8.538155501,20,100
8.548313886,20,100
8.565828686,20,100
8.586108074,20,100
8.58662248,20,100
8.619116577,20,100
8.641100658,20,100
8.643996888,20,100
8.658923017,20,100
8.659243847,20,100
8.661935985,20,100
8.694935535,20,100
8.720768015,20,100
8.741060817,20,100
8.793639549,20,100
8.813021604,20,100
8.825511094,20,100
8.84148001,20,100
8.922130399,20,100
8.929012619,20,100
8.937579285,20,100
8.944388393,20,100
8.962501242,20,100
8.978057451,20,100
8.983177587,20,100
9.069670168,20,100
9.074998393,20,100
9.089853003,20,100
9.092562971,20,100
9.099824736,20,100
9.112203012,20,100
9.115278108,20,100
9.117426758,20,100
9.122566525,20,100
9.126024321,20,100
9.15711895,20,100
9.166746787,20,100
9.186230118,20,100
9.207660665,20,100
9.217221019,20,100
9.235395608,20,100
9.235942598,20,100
9.262729222,20,100
9.288023987,20,100
9.324836795,20,100
9.348563285,20,100
9.404025363,20,100
9.435632776,20,100
9.445377176,20,100
9.454828754,20,100
9.458751474,20,100
9.475250411,20,100
9.475762383,20,100
9.479827649,20,100
9.481808692,20,100
9.489404445,20,100
